Expert_ID,Expert_type,Q_ID,Q5th,Q50th,Q95th
103,Expert,QI_33,0.25,1,2.5
103,Expert,QI_34,0.45,0.75,1.05
103,Expert,QI_35,0.615384615,2,6.153846154
103,Expert,QI_36,0.0001,20,33.84615385
103,Expert,QI_37,1.153846154,15,28.84615385
103,Expert,QI_38,0.0001,3,12.69230769
103,Expert,QI_39,0.357142857,1,6.142857143
103,Expert,QI_40,0.25,1,5.5
103,Expert,QI_41,0.615384615,2,10.30769231
103,Expert,QI_42,0.071428571,2,12.28571429
103,Expert,QI_43,0.0001,6,15
103,Expert,QI_44,7.142857143,20,58.57142857
103,Expert,QI_45,0.230769231,3,9.923076923
103,Expert,QI_46,0.0001,40,74.61538462
103,Expert,QI_47,0.5,2,6.5
103,Expert,QI_48,0.428571429,3,5.571428571
103,Expert,QI_49,5,20,50
103,Expert,QI_50,2.5,10,17.5
103,Expert,QI_51,2.5,25,62.5
103,Expert,QI_52,0.0001,4,13
103,Expert,QI_53,0.35,0.8,2.6
103,Expert,QI_54,0.4,0.7,1.15
103,Expert,QI_55,0.0001,3,10.5
103,Expert,QI_56,0.0001,30,45
103,Expert,QI_57,5,20,42.5
103,Expert,QI_58,0.0001,4,15.07692308
103,Expert,QI_59,0.0001,0.5,6.730769231
103,Expert,QI_60,0.461538462,0.6,5.307692308
103,Expert,QI_61,0.0001,1,6.538461538
103,Expert,QI_62,0.0001,1,13.46153846
103,Expert,QI_63,0.0001,5,15.5
103,Expert,QI_64,7.5,15,90
103,Expert,QI_65,0.0001,1,48.07692308
103,Expert,QI_66,0.5,5,50
103,Expert,QI_67,0.5,2,6.5
103,Expert,QI_68,0.0001,5,39.61538462
103,Expert,QI_69,0.0001,10,40
103,Expert,QI_70,1.5,12,24
103,Expert,QI_71,0.0001,18,30.6
103,Expert,QI_72,0.2,2,7.4
103,Expert,QI_73,0.0001,45,90
103,Expert,QI_74,3.4,7,12.4
103,Expert,QI_75,0.0001,12,26.4
103,Expert,QI_76,0.0001,12,17.4
103,Expert,QI_77,2.6,8,15.2
103,Expert,QI_78,0.5,2,6.5
103,Expert,QI_79,0.5,2,6.5
103,Expert,QI_80,0.05,0.2,1.4
103,Expert,QI_81,0.0001,65,89.54545455
103,Expert,QI_82,0.5,2,2.75
103,Expert,QI_83,0.0001,50,90.90909091
103,Expert,QI_84,0.25,1,7
103,Expert,QI_85,0.0001,5,12.5
103,Expert,QI_86,0.0001,50,77
103,Expert,QI_87,0.0001,15,33
103,Expert,QI_88,0.6,1.5,6
103,Expert,QI_89,0.0001,45,90
103,Expert,QI_90,4.2,6,13.2
103,Expert,QI_91,0.0001,12,26.4
103,Expert,QI_92,0.0001,12,17.4
103,Expert,QI_93,0.0001,7,12.4
103,Expert,QI_94,0.0001,2,6.909090909
103,Expert,QI_95,0.0001,2,6.909090909
103,Expert,QI_96,0.0001,0.1,1.572727273
103,Expert,QI_97,0.0001,50,82.72727273
103,Expert,QI_98,0.0001,1,3.454545455
103,Expert,QI_99,0.0001,45,77.72727273
103,Expert,QI_100,0.0001,0.5,7.863636364
103,Expert,QI_101,0.0001,5,13.18181818
103,Expert,QI_102,0.0001,50,77
103,Expert,QI_103,0.033809416,0.0571,0.117901623
103,Expert,QI_104,0.08,0.2,0.56
103,Expert,QI_105,12.30769231,22,26.15384615
103,Expert,QI_106,21.42857143,24,25.28571429
103,Expert,QI_107,33.05714286,41.8,52.34285714
103,Expert,QI_108,9.428571429,12,15.85714286
103,Expert,QI_109,2.063831169,3.008333333,5.065194805
103,Expert,QI_110,1.382922078,2.616666667,4.170162338
103,Expert,QI_111,3.542732268,5.45,8.132202797
103,Expert,QI_112,0.025,0.25,0.625
103,Expert,QI_113,0.004545455,0.25,0.659090909
103,Expert,QI_114,0.615384615,2,13.07692308
103,Expert,QI_115,0.0001,0.3,0.627272727
103,Expert,QI_116,0.0001,5,18.84615385
103,Expert,QI_117,0.0001,5,9.909090909
103,Expert,QI_118,0.0001,1,7.545454545
103,Expert,QI_119,0.0001,8,14.54545455
103,Expert,QI_120,0.0001,60,68.18181818
103,Expert,QI_121,0.0001,0.5,1.318181818
103,Expert,QI_122,0.0001,35,62.69230769
103,Expert,QI_123,0.0001,10,18.18181818
103,Expert,QI_124,0.0001,0.05,0.131818182
103,Expert,QI_125,0.0001,8,14.54545455
103,Expert,QI_126,0.099,0.1,0.345454545
103,Expert,QI_127,0.099,0.1,0.345454545
103,Expert,QI_128,0.0001,15,30
103,Expert,QI_129,0.004545455,0.25,0.659090909
103,Expert,QI_130,0.0001,0.5,1.318181818
103,Expert,QI_131,0.0001,8,19.45454545
103,Expert,QI_132,3.727272727,7,11.90909091
103,Expert,QI_133,0.363636364,2,6.909090909
103,Expert,QI_134,0.0001,3,6.272727273
103,Expert,QI_135,0.0001,35,43.18181818
103,Expert,QI_136,0.0001,35,59.54545455
103,Expert,QI_137,0.02,0.2,0.74
103,Expert,QI_138,0.0001,0.2,0.74
103,Expert,QI_139,0.0001,4,13.81818182
103,Expert,QI_140,0.0001,0.5,1.4
103,Expert,QI_141,0.0001,8,24.36363636
103,Expert,QI_142,0.0001,4,10.54545455
103,Expert,QI_143,0.0001,2,7.4
103,Expert,QI_144,0.0001,10,19
103,Expert,QI_145,0.0001,65,83
103,Expert,QI_146,0.0001,0.5,1.4
103,Expert,QI_147,0.0001,40,72.72727273
103,Expert,QI_148,0.0001,8,15.2
103,Expert,QI_149,0.0001,0.0001,0.18
